"id","employeeId","name","allottedHours","basicSalary","date","hoursWorked","accountNo","pay"
"1","E001","John Doe","160","$3000","2024-08-25","170","1234567890","$3300"
"2","E002","Jane Smith","160","$3200","2024-08-28","160","0987654321","$3400"
"3","E003","Alice Johnson","160","$3100","2024-09-01","150","1122334455","$3250"
"4","E004","Bob Brown","160","$2900","2024-09-03","165","2233445566","$3050"
"5","E005","Charlie Davis","160","$3050","2024-09-05","180","3344556677","$3200"
"6","E006","Diana Evans","160","$3250","2024-09-08","155","4455667788","$3400"
"7","E007","Eric Foster","160","$3100","2024-09-10","170","5566778899","$3250"
"8","E008","Fiona Green","160","$3000","2024-09-12","160","6677889900","$3150"
"9","E009","George Harris","160","$2900","2024-09-15","175","7788990011","$3050"
"10","E010","Hannah Ives","160","$3150","2024-09-18","165","8899001122","$3300"
